,Target,AGE,S1,Q3,Q4,Q5a,Q5b,Q5c,Q5d,Q5e,Q5g,Q5h,Q5i,Q5j,Q5l,Q20,Q21,Q22,Q25,Q27,Q28,Q29,Q30,Q32,Q33,Q34,Q35,Q36a,Q36b,Q36c,Q31,Q37a,Q38,Postcode_clean,Ward,OutputArea,Number of council services accessed,Information about public services,Publication Use,Usefulness of offline publication,Financial Worry
858,0.0,27.0,1.0,other,5.0,0.0,0.0,2.0,0.0,5.0,2.0,0.0,2.0,2.0,2.0,1.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,2.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,307.0,8.0,170.0,0.0,1.6,Offline,2993.2,Not Concerned
859,0.0,,1.0,other,0.0,2.0,2.0,0.0,2.0,5.0,2.0,4.0,2.0,2.0,2.0,1.0,3.0,0.0,1.0,2.0,3.0,0.0,0.0,4.0,4.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,307.0,8.0,170.0,0.0,1.2,Offline,2994.0,Not Concerned
860,1.0,24.0,0.0,other,0.0,0.0,0.0,2.0,0.0,5.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,307.0,8.0,170.0,0.0,1.6,Offline,2774.4,Not Concerned
861,1.0,,0.0,other,0.0,0.0,2.0,0.0,0.0,5.0,2.0,0.0,2.0,2.0,2.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,4.0,4.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,307.0,8.0,170.0,0.0,1.6,Offline,2769.4,Concerned
862,0.0,25.0,1.0,other,0.0,0.0,0.0,2.0,0.0,5.0,2.0,0.0,2.0,0.0,2.0,1.0,3.0,0.0,1.0,1.0,,0.0,0.0,2.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,307.0,8.0,170.0,0.0,1.6,Offline,2774.4,Not Concerned
863,1.0,,1.0,other,14.0,0.0,0.0,0.0,2.0,5.0,2.0,0.0,0.0,2.0,2.0,1.0,3.0,0.0,1.0,3.0,1.0,0.0,0.0,4.0,5.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,307.0,8.0,170.0,0.0,1.2,Offline,2996.6,Not Concerned
864,0.0,32.0,0.0,other,0.0,0.0,0.0,4.0,2.0,4.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,8.0,308.0,14.0,171.0,0.0,4.0,None,3068.4,Not Concerned
865,0.0,29.0,1.0,other,8.0,0.0,0.0,4.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,4.0,4.0,6.0,2.0,2.0,2.0,1.0,1.0,8.0,308.0,14.0,171.0,0.0,2.4,Offline,1513.8,Not Concerned
866,0.0,24.0,1.0,other,10.0,0.0,2.0,5.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,2.0,2.0,0.0,1.0,1.0,5.0,308.0,14.0,171.0,0.0,2.8,Online and Offline,2998.8,Concerned
867,0.0,52.0,0.0,other,8.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,4.0,4.0,11.0,2.0,2.0,2.0,0.0,0.0,2.0,308.0,14.0,171.0,1.0,2.4,Offline,2849.6,Concerned
868,0.0,60.0,0.0,other,0.0,0.0,2.0,2.0,2.0,4.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,4.0,2.0,4.0,6.0,2.0,2.0,2.0,0.0,0.0,0.0,308.0,14.0,171.0,0.0,3.0,Offline,3000.2,Concerned
869,0.0,67.0,1.0,other,13.0,0.0,0.0,5.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,4.0,4.0,11.0,0.0,0.0,2.0,0.0,0.0,2.0,308.0,14.0,171.0,0.0,2.2,Online and Offline,2851.0,Not Concerned
870,0.0,32.0,0.0,other,7.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1.0,4.0,0.0,0.0,0.0,2.0,2.0,4.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,308.0,14.0,171.0,0.0,2.0,Offline,3001.6,Not Concerned
