,Target,AGE,S1,Q5a,Q5b,Q5c,Q5d,Q5e,Q5g,Q5h,Q5i,Q5j,Q5l,Q20,Q21,Q25,Q27,Q28,Q29,Q30,Q32,Q33,Q34,Q35,Q36a,Q36b,Q36c,Q31,Q37a,Q38,Ward,AcornTypeCode,Q3_Full-Time Student,Q3_Registered Unemployed (Job Seeker's Allowance),Q3_Retired,Q3_Unemployed due to ill health,"Q3_Unemployed, Not Registered-Seeking Work",Q3_Working - Full Time (30+ HRS),Q3_Working - Part Time (8 - 29 HRS),Q4_(Refused),Q4_Any - Other White background (type in),Q4_Asian or Asian British - Any other Asian Background (type in),Q4_Asian or Asian British - Bangladeshi,Q4_Asian or Asian British - Chinese ,Q4_Asian or Asian British - Indian,Q4_Asian or Asian British - Pakistani,Q4_Black or Black British -  Caribbean,Q4_Black or Black British - African ,Q4_Black or Black British - Any other black background (type in),Q4_Mixed - White and Black - African,Q4_Mixed - White and Black - Caribbean,Q4_Other Ethnic groups - Any other background (type in),Q4_Other Ethnic groups - Arab,Q4_White - Eastern European  (type in),Q4_White - Irish,Q4_White - Western European,Number of Council Services accessed,Information about public services,Q12 Online,Q12 Offline,Usefulness of offline publication,Q22_Live Here Rent Free,Q22_Owns Outright,Q22_Owns With A Mortgage Or Loan,Q22_Part Owns And Part Rents (shared Ownership),Q22_Rents (With Or Without Housing Benefit),Q22_Rents A Room In A Shared Property,Financial Worry
973,0.0,,0.0,5.0,4.0,,4.0,,4.0,5.0,4.0,5.0,5.0,2.0,1.0,4,1.0,,0.0,3,10,10,9,5,1.0,1.0,1.0,1.0,1.0,7.0,16.0,54.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.8,0.0,1.0,2.0,0,0,0,0,1,0,3.0
974,0.0,59.0,1.0,5.0,5.0,4.0,5.0,,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4,4.0,0.0,0.0,3,9,10,9,5,1.0,1.0,1.0,1.0,1.0,8.0,16.0,54.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.6,0.0,2.0,2.5,0,0,0,0,1,0,2.0
975,0.0,,1.0,4.0,5.0,4.0,5.0,,4.0,5.0,4.0,5.0,4.0,1.0,4.0,3,3.0,0.0,0.0,3,10,10,9,6,2.0,1.0,2.0,1.0,1.0,9.0,16.0,54.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,3.0,0.0,1.0,2.0,0,0,1,0,0,0,3.0
976,0.0,,1.0,4.0,5.0,3.0,5.0,,4.0,5.0,4.0,4.0,4.0,2.0,2.0,2,3.0,0.0,0.0,3,10,9,9,4,1.0,1.0,1.0,1.0,1.0,9.0,16.0,54.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,2.6,0.0,2.0,2.0,0,0,0,0,1,0,0.0
977,0.0,,0.0,4.0,4.0,,5.0,,,,4.0,3.0,4.0,2.0,2.0,3,2.0,,0.0,3,10,10,9,5,2.0,1.0,2.0,1.0,1.0,8.0,16.0,17.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2.2,0.0,1.0,2.0,0,0,0,0,1,0,0.0
978,0.0,,0.0,4.0,3.0,,4.0,,4.0,4.0,,4.0,3.0,2.0,2.0,4,3.0,0.0,0.0,3,8,9,8,6,2.0,1.0,2.0,1.0,0.0,,16.0,17.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,0.0,1.0,2.0,0,0,0,0,1,0,3.0
979,0.0,,1.0,5.0,4.0,5.0,4.0,,4.0,5.0,4.0,5.0,4.0,2.0,2.0,2,2.0,0.0,0.0,3,10,9,10,5,1.0,1.0,1.0,1.0,1.0,9.0,16.0,16.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.8,0.0,1.0,1.0,0,0,0,0,1,0,0.0
980,0.0,35.0,1.0,4.0,4.0,,4.0,,4.0,4.0,4.0,3.0,4.0,2.0,2.0,2,2.0,0.0,0.0,3,9,9,10,6,1.0,1.0,1.0,1.0,0.0,,16.0,17.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.8,0.0,1.0,2.0,0,0,0,0,1,0,0.0
981,0.0,,0.0,5.0,5.0,4.0,4.0,,4.0,5.0,4.0,5.0,5.0,2.0,2.0,3,2.0,1.0,0.0,3,10,9,9,5,1.0,1.0,1.0,1.0,1.0,,16.0,17.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2.5,0.0,1.0,2.0,0,0,0,0,1,0,0.0
982,1.0,,1.0,4.0,4.0,,4.0,,3.0,4.0,3.0,4.0,4.0,1.0,1.0,2,1.0,0.0,0.0,3,10,9,9,5,2.0,2.0,2.0,1.0,1.0,9.0,16.0,17.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,1.8,0.0,1.0,2.0,0,0,0,0,1,0,0.0
