,Target,AGE,S1,Q3,Q4,Q5a,Q5b,Q5c,Q5d,Q5e,Q5f,Q5g,Q5h,Q5i,Q5j,Q5k,Q5l,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q11a,Q11b,Q11c,Q11d,Q11e,Q12a,Q12b,Q12c,Q12d,Q12e,Q12f,Q12g,Q12h,Q12i,Q12j,Q12k,Q12l,Q13a,Q13b,Q13c,Q13d,Q13e,Q13f,Q13g,Q13h,Q13i,Q13j,Q14a,Q14b,Q14c,Q14d,Q14e,Q14f,Q14g,Q14h,Q14i,Q14j,Q14k,Q14l,Q14m,Q20,Q21,Q22,Q25,Q26a,Q26b,Q26c,Q26d,Q26e,Q26f,Q26g,Q26h,Q26i,Q26j,Q26k,Q27,Q28,Q29,Q30,Q32,Q33,Q34,Q35,Q36a,Q36b,Q36c,Q31,Q37a,Q38,Postcode_clean,Ward,OutputArea
Q5g,-0.032427232,-0.126144821,0.019421224,0.02874167,-0.033839898,0.467929204,0.43368494,0.259377214,0.412115398,0.364994294,0.128467361,1,0.526622697,0.457735903,0.420671516,-0.116990521,0.479818966,-0.118379739,-0.030726594,-0.045412439,0.001457749,0.010972862,-0.023377951,-0.037636009,-0.011309675,-0.04462904,-0.05296449,0.013336095,0.081413971,-0.000577732,-0.16637802,-0.139069151,0.001059979,-0.009426723,-0.079923148,-0.094681572,-0.099352394,-0.092825809,0.145305533,0.019027905,0.110811954,0.016649334,-0.066889826,0.046903872,0.094245389,0.001243449,-0.000896162,0.006184132,0.03983688,0.01541126,-0.158686353,0.105805271,0.072654577,0.192468752,-0.131415011,0.030991889,-0.080907214,0.000126862,-0.081080814,0.020884268,-0.025160554,0.018850198,0.020884268,-0.077589541,0.133062655,0.016625156,0.168412535,-0.016301565,-0.031643258,-0.020903277,-0.109592182,-0.070759179,-0.019300095,-0.055332044,-0.085924322,0.138319015,,-0.026185717,-0.021446825,0.014591412,0.03433378,-0.096460462,-0.020504282,0.018394131,0.007169575,0.236034076,-0.007257733,-0.046434546,0.013133345,0.052268247,0.143778931,0.026149725,-0.00815248,-0.059407333,-0.009191183
Q14a,-0.031816008,0.055391983,-0.039742564,-0.028532624,0.016414588,-0.103022374,-0.099682606,-0.038862712,-0.080212943,-0.189672981,-0.099383449,-0.158686353,-0.128322216,-0.149230016,-0.114877218,0.051576786,-0.165632993,0.013922377,0.018199338,-0.059277962,-0.028046887,0.040044919,0.038065009,-0.02984338,-0.032475032,0.026543213,-0.015380126,0.035529441,0.075520256,0.135718729,0.094262271,0.229943403,0.024475607,0.124671388,0.073164932,-0.006983741,0.027978748,-0.018771323,-0.148806096,-0.059277962,0.048303007,0.084399207,0.09083711,0.070343619,0.080187919,0.133948221,0.100382528,0.077460975,0.033327498,0.055576359,1,-0.092099366,0.016036941,-0.21274462,0.244497236,-0.067968097,0.077241204,0.028985132,-0.026112363,0.014732939,-0.209295611,-0.054854133,0.014732939,0.032160553,-0.152044645,0.039678252,-0.019553662,-0.131923932,-0.066125774,-0.061640329,0.013753427,-0.003212254,-0.020698851,0.047714163,0.022878408,0.028164571,,-0.054906895,0.059818899,-0.014423573,-0.009769694,-0.062204189,0.030097273,0.008731841,0.024556834,-0.00914365,-0.087733371,-0.027402909,-0.056330238,-0.050488434,-0.078038863,-0.086858714,0.099748345,0.003501332,0.09840777
Q13c,-0.03117617,0.008719356,0.010207173,-0.118842125,-0.010200581,-0.043936348,-0.039443775,-0.12813011,-0.101230061,-0.156701767,-0.196247679,-0.066889826,-0.103793112,-0.152283563,-0.089168228,0.001262687,-0.107637253,-0.012839657,0.019296018,-0.006664686,-0.037842229,0.036572465,0.017829371,-0.024493382,0.000868062,-0.037160567,-0.02405483,-0.050649765,-0.115017112,-0.052465847,0.677535248,0.142064228,-0.028797212,-0.015246178,0.036930003,-0.058563755,-0.089612225,-0.070619525,-0.122929719,-0.028283261,0.029585229,0.034870608,1,0.0562842,0.060732996,0.006583044,0.079225371,0.066193405,-0.032971403,0.031976492,0.09083711,-0.069673711,0.011386326,-0.00841993,0.18759964,-0.022522322,0.011392942,-0.049830226,-0.006732887,-0.035254981,-0.047089903,-0.026172522,-0.035254981,0.096171734,-0.146054439,0.06681894,0.025265871,-0.044556992,-0.029140145,-0.0166064,-0.058992236,-0.053863581,0.014451436,0.027108937,0.016159944,0.060241413,,-0.034568397,0.112412068,0.027073747,-0.022900928,-0.066214683,0.00576348,-0.011688944,0.004810527,-0.077008468,-0.098068561,-0.039503618,-0.089337493,0.028034389,-0.033189663,-0.015348459,-0.072063647,-0.006863746,-0.076939259
Q38,-0.031040293,-0.25417744,-0.03951601,-0.054232629,0.285276647,-0.011257112,-0.041774943,0.024770523,-0.049884268,0.065909529,0.013406565,0.026149725,-0.054794784,0.030060363,-0.017726158,-0.016302263,-0.001234419,-0.000603697,0.012512129,0.006192023,-0.006497995,0.006192023,-0.05052994,0.121476704,0.115292658,0.09660383,0.092953213,0.076010155,-0.139292387,-0.184578808,0.034085108,-0.063077393,-0.062697566,-0.023635159,-0.038437941,-0.034434451,-0.021191514,-0.008598769,0.168451875,-0.014950477,-0.059116079,-0.093333049,-0.015348459,-0.073171501,-0.085128102,-0.018878312,-0.075064075,-0.049402652,-0.037982625,-0.001138041,-0.086858714,-0.000232489,-0.047277049,0.02110161,-0.06008995,-0.05136413,-0.034028426,-0.018764511,-0.011743993,0.065307884,0.00665623,-0.012204355,0.065307884,-0.068749266,-0.044311843,-0.166191705,-0.089682224,0.022891357,0.046497078,-0.020824769,0.025866645,0.050271037,0.053426838,-0.013821925,0.03091692,-0.087952297,,0.094467112,-0.014179239,-0.019955952,-0.032017373,-0.061485887,-0.050281806,-0.066132736,-0.050966406,-0.044345461,-0.040731237,-0.045698887,-0.009691598,0.176575867,0.560562141,1,0.022652836,0.029967315,0.019360079
Q14c,-0.028603319,0.014247588,0.005863011,0.010703307,-0.042450135,0.034153153,0.094462277,-0.008926071,0.036076045,-0.003792169,-0.043143771,0.072654577,0.045221553,0.039494926,0.055451632,-0.081944868,0.028818535,-0.02059986,0.002767913,-0.01516325,-0.014031638,-0.01516325,-0.028311263,-0.014069024,-0.055318149,-0.027330666,-0.03445639,-0.006356365,-0.012606728,-0.000128891,-0.012675404,-0.033359621,0.042691329,-0.031197947,0.031079317,-0.024669848,0.009156259,-0.000490138,0.002299783,-0.01516325,0.018991573,-0.001282064,0.011386326,-0.013649958,0.044283914,-0.026151191,-0.007894868,0.012083797,-0.042112957,-0.021126454,0.016036941,0.048754489,1,0.043772021,-0.036594887,0.016066315,0.016075647,-0.000490138,-0.002496508,-0.008085516,-0.05353763,-0.014031638,-0.008085516,0.003397724,-0.009968606,0.051674357,0.089119852,0.03000752,0.020334198,0.011023981,-0.001489902,0.049028223,0.065369964,-0.004973537,0.003931131,0.041081074,,-0.03778919,0.053848337,-0.014733458,0.012118266,0.021008091,-0.002238221,0.015412807,-0.016350677,0.036026046,0.003650393,-0.017494134,-0.009965738,-0.045721222,0.004785241,-0.047277049,-0.012073213,-0.035419425,-0.007228574
Q26f,-0.028370742,-0.006932648,-0.043635815,0.004626121,-0.002036036,-0.055154633,-0.043736331,-0.028760708,-0.011617576,-0.021633671,0.022808252,-0.019300095,-0.020027042,-0.039999169,-0.044222536,0.016353247,-0.025157117,-0.016770182,0.074302165,0.16428103,-0.00530482,-0.005732638,-0.010703393,-0.006628817,0.00656944,0.024886562,-0.011111834,-0.012079699,0.001063951,-0.001060338,-0.000731526,-0.047709134,0.004326745,-0.011794737,-0.016138184,-0.01783386,-0.015650974,0.069539243,0.018919425,-0.005732638,0.030138898,0.019486378,0.014451436,-0.020049214,0.033486686,-0.009886753,-0.007039933,-0.007188648,-0.007756117,0.131055961,-0.020698851,-0.003901599,0.065369964,-0.015525384,-0.014730984,-0.014462971,-0.018565109,-0.012206775,-0.012606914,-0.003056821,0.031635162,-0.00530482,-0.003056821,-0.036811476,-0.013525032,0.008626982,-0.019630477,0.04635874,0.155711889,0.117192359,0.026531588,0.205770866,1,0.094053343,0.076049284,-0.122869996,,-0.014286631,-0.028918095,0.024511951,0.088877021,-0.01891158,-0.033597843,-0.005122519,0.029424219,-0.045968733,0.028390462,-0.032598645,0.034534295,-0.019999017,0.03585824,0.053426838,-0.032859035,0.041129849,-0.029634953
Q12k,-0.024519025,-0.178134763,0.032841894,0.019228746,0.019362979,0.154369679,0.172365298,0.059373329,0.162144494,0.079402788,-0.025160835,0.145305533,0.159289916,0.126263825,0.122577768,-0.103035839,0.128664071,-0.059682376,-0.003429091,-0.029509835,-0.027307558,-0.029509835,-0.055097733,0.08633247,0.083316339,0.08390663,0.088590764,0.066193955,-0.431831645,-0.182511557,-0.181436641,-0.245591754,-0.165687436,-0.06071563,-0.083074342,-0.091803153,-0.080566337,-0.062836676,1,-0.029509835,-0.242268849,-0.101345928,-0.122929719,-0.103207108,-0.065243056,-0.050893926,-0.036239381,-0.037004921,-0.039926076,-0.0076688,-0.148806096,-0.009042152,0.002299783,0.087907242,-0.106392637,0.016932657,-0.059016564,-0.027175402,0.03889788,-0.01573556,0.088167342,0.012728099,-0.01573556,-0.000806829,-0.022008917,-0.054986831,0.068592365,-0.001895977,-0.003476655,0.02230434,0.003321489,0.009041227,0.018919425,-0.021224188,-0.039458621,0.047054659,,0.003472375,-0.010635712,-0.036847187,-0.028454112,-0.011051268,-0.090515297,-0.00094897,-0.038508485,0.068519199,-0.048444911,-0.063745675,-0.0666637,0.14659431,0.228968257,0.168451875,-0.028231361,-0.043882119,-0.035686137
Q5i,-0.023931844,-0.067790292,0.031584795,-0.00365811,0.040928347,0.457712138,0.404366219,0.199435613,0.352317153,0.329344478,0.237382178,0.457735903,0.380985203,1,0.533075579,-0.084724676,0.477890636,-0.092012021,-0.038423295,-0.014963762,0.008646273,0.00934357,-0.039915174,-0.054567161,-0.025445589,-0.055390227,-0.058007364,-0.000694856,0.075999539,0.054509496,-0.240277309,-0.132658242,0.043760155,-0.029062968,-0.042985835,-0.028828191,-0.048816872,-0.089187239,0.126263825,-0.03116865,0.065670664,0.033333344,-0.152283563,0.087897507,0.044123429,-0.034276129,-0.018751639,0.01933697,0.031164305,-0.022839106,-0.149230016,0.128864759,0.039494926,0.138197675,-0.146992785,0.060178128,-0.089530888,0.039374798,-0.039926907,0.050347266,0.0082671,0.017393671,0.050347266,-0.056074315,0.170543955,0.016241784,0.132548313,-0.018227108,-0.03985589,-0.02871037,-0.144452441,-0.050826735,-0.039999169,-0.066460752,-0.056460025,0.147679596,,-0.027195756,-0.013229796,0.013237966,0.039148873,-0.025743089,-0.057247867,-0.015487015,-0.034255886,0.24269341,-0.030017197,-0.062234605,-0.017252806,0.028199207,0.11442662,0.030060363,-0.013295163,-0.028216689,-0.01997747
Q14h,-0.022986669,-0.097030879,0.023574902,-0.032154103,-0.011097619,-0.017317309,0.010410256,-0.038039454,0.009762339,0.04162757,0.042063024,0.000126862,0.010169666,0.039374798,-0.027383471,0.044358794,-0.040557723,-0.042293053,0.005721549,-0.014457254,-0.01337833,-0.014457254,-0.026993099,-0.052042094,-0.065784786,-0.077116844,-0.080103205,-0.027490115,0.030327479,-0.047443486,-0.032731193,0.073837188,0.02279353,0.004599119,-0.014986622,0.00208556,0.013394506,-0.030784508,-0.027175402,-0.014457254,0.010410519,-0.023093227,-0.049830226,0.040952548,0.024366007,0.013015193,-0.006537589,0.003550649,0.048193635,-0.003757045,0.028985132,-0.083054009,-0.000490138,-0.016974866,0.13382915,0.219147713,0.180383952,1,0.000466182,-0.007709057,-0.051044935,-0.01337833,-0.007709057,0.027590363,0.069481081,0.034688398,-0.009961841,0.009870429,-0.044975564,0.015266642,-0.015922033,-0.034666953,-0.012206775,-0.023580221,0.006885619,0.046545099,,-0.007305569,0.090775529,-0.014580442,-0.02661581,-0.022934378,0.013408446,-0.069540375,-0.059843161,-0.025049791,-0.013784508,-0.010337849,-0.016061632,0.009609941,-0.000893566,-0.018764511,0.007116877,-0.010500432,0.011929272
Q32,-0.021861396,0.053983092,0.011976413,-0.009614428,-0.011999518,0.021728356,-0.016692903,-0.008004291,0.015219363,0.009222496,0.048952986,-0.020504282,-0.019688961,-0.057247867,-0.055477142,0.038945061,-0.037434059,0.06870666,0.063081216,0.061548548,0.006324122,-0.03122805,0.051624132,0.049778422,0.065044618,0.087990082,0.060585589,0.110589166,0.019176945,-0.008746174,0.029462203,0.078582489,0.029174973,-0.006023239,-0.022332259,-0.013545193,-0.026804813,-0.00031736,-0.090515297,0.197145113,0.046504565,0.005199371,0.00576348,0.069548466,0.079699443,0.0157027,0.036559129,0.041383925,0.054306483,0.056796497,0.030097273,0.022123592,-0.002238221,-0.028878542,0.051742884,-0.039425568,-0.015382849,0.013408446,-0.041566273,-0.071831363,-0.023777206,0.075666778,-0.071831363,0.074047801,-0.110213411,-0.038606559,0.064322019,0.050991286,0.047162536,-0.020674266,0.017352795,0.00102977,-0.033597843,0.008582971,0.020893255,-0.057860868,,0.037781711,-0.018711746,0.010203432,0.103184976,0.111973627,1,0.417649023,0.411125178,-0.040374047,0.083593323,0.092513363,0.074106548,-0.012563375,-0.091147434,-0.050281806,0.052587948,0.039336592,0.050607056
Q13f,-0.021001597,0.047007791,-0.06414499,0.077148179,-0.003024592,-0.030804049,-0.008090824,0.008268939,-0.011727948,0.031415828,0.052468672,0.001243449,-0.001548093,-0.034276129,0.001127792,-0.008102314,-0.016248541,0.13587202,0.095950869,-0.011709505,-0.010835642,-0.011709505,0.064097714,0.038490929,0.061272964,0.072055445,0.0464792,0.042924512,0.034599445,0.002092014,-0.029266889,0.022574864,0.035958776,0.838234337,0.035508291,-0.0364275,-0.021913112,-0.037583196,-0.050893926,-0.011709505,0.08041077,0.058796878,0.006583044,0.060010135,0.09316264,1,0.109365332,-0.014683557,0.014228606,0.003793846,0.133948221,-0.005358227,-0.026151191,-0.074836892,0.06323602,0.035288147,-0.037921152,0.013015193,0.011066512,-0.006243872,-0.049370705,0.017566874,-0.006243872,-0.016850997,-0.027957438,0.01434176,-0.023020504,-0.033290337,-0.009572568,-0.021038575,0.067698517,0.141765183,-0.009886753,0.0145876,0.01735888,-0.040058411,,-0.029181918,0.049704616,0.079692487,0.010834773,-0.000952791,0.0157027,-0.006956695,0.015610911,0.065214329,-0.010018586,0.01817565,0.012736534,-0.040850058,0.005930574,-0.018878312,0.03597271,0.043905559,0.034425178
Q37a,-0.020452021,-0.254773748,-0.040032836,-0.023630592,0.153608095,0.10574799,0.067924421,0.049396077,0.104957034,0.081294949,0.018360457,0.143778931,0.058031525,0.11442662,0.049401302,-0.086101186,0.124776085,-0.012233439,0.022849438,-0.010950379,-0.005556045,-0.010950379,-0.059694766,0.080515615,0.068695181,0.06417835,0.060651887,0.044247381,-0.110105146,-0.113183909,-0.069048102,-0.161063265,-0.056019318,0.00484193,-0.059201118,-0.035508485,0.002513467,-0.015163124,0.228968257,-0.010950379,-0.073001021,-0.03467634,-0.033189663,-0.069435718,-0.05222068,0.005930574,-0.054706399,-0.018383524,-0.021046224,-0.018270462,-0.078038863,0.015550911,0.004785241,0.114170854,-0.102273477,-0.029368155,-0.082821511,-0.000893566,0.021406407,0.033723368,0.001439442,-0.037595906,0.033723368,-0.010965089,-0.022259637,-0.112748195,0.010399373,0.037616859,0.05537378,0.053348802,0.039072898,0.055853948,0.03585824,-0.002931771,-0.004278034,-0.026720133,,0.009690464,-0.006911045,-0.006005696,-0.013895613,-0.043714019,-0.091147434,-0.06399345,-0.060901628,0.076381218,-0.069025853,-0.055219251,-0.043592756,0.183590511,1,0.560562141,-0.032677219,-0.052401833,-0.035167782
Q11c,-0.019911311,-0.05261279,-0.012180606,0.00582763,-0.062047301,-0.040659325,-0.048884076,0.018489332,-0.033148444,-0.012895771,0.100179674,-0.04462904,-0.01296705,-0.055390227,-0.069202592,0.109028036,0.018783263,0.113597731,0.069181706,0.062376044,0.012319167,-0.015548134,0.067291229,0.730620358,0.712866377,1,0.725776927,0.61631231,-0.051791153,-0.042612401,-0.047634597,-0.016319776,-0.087031708,0.046023558,-0.045149857,-0.080354796,-0.018810453,0.022796554,0.08390663,0.097009011,0.044348526,0.049488192,-0.037160567,0.029754794,-0.048144366,0.072055445,-0.005652453,-0.076498045,0.001988589,0.099461326,0.026543213,-0.060834005,-0.027330666,-0.102889473,0.006183928,-0.063610686,-0.030846676,-0.077116844,-0.047463455,0.012485048,0.049645565,0.133835862,0.012485048,-0.043771479,-0.087424349,0.048146911,-0.001380653,-0.061069831,-0.018487961,-0.055527896,-0.001693717,-0.012794796,0.024886562,0.109603233,0.021950961,-0.069996547,,-0.009978124,0.020641884,-0.032567244,0.023649882,0.037717885,0.087990082,0.036872463,0.034250961,-0.078208773,0.062182917,0.074202746,0.079552613,0.088730393,0.06417835,0.09660383,0.068428208,0.126399876,0.071903665
Q26i,-0.019724607,0.030767411,-0.016188942,-0.058017288,-0.077724247,0.154958866,0.124952034,0.056304419,0.17536689,-0.005591134,-0.097262691,0.138319015,0.141067391,0.147679596,0.094272181,-0.00562963,0.105450902,-0.159406102,-0.15536521,-0.063160335,0.013534784,-0.118068566,-0.167050186,-0.054644066,-0.063526102,-0.069996547,-0.018899006,0.001501376,0.005973659,0.05528437,0.047197542,0.0992444,0.073277318,-0.053986565,-0.083019049,-0.060368731,-0.071999081,-0.072259359,0.047054659,-0.145522682,-0.039450184,0.048474147,0.060241413,0.079613053,0.098182222,-0.040058411,-0.08074433,-0.044775102,-0.062399015,-0.052086516,0.028164571,-0.010028093,0.041081074,0.059830311,0.097264866,0.027504667,-0.002241928,0.046545099,-0.025465848,0.024878496,-0.053070329,-0.10502307,0.024878496,0.060181489,-0.075849014,0.083803662,0.321423415,-0.413723636,-0.452711484,-0.388878582,-0.557299858,-0.348947878,-0.122869996,-0.46760548,-0.288613942,1,,-0.362665279,-0.000293899,-0.004519676,-0.113823484,-0.077071316,-0.057860868,-0.076713718,-0.070593361,0.228258433,-0.168564242,-0.174102508,-0.185325331,0.055495343,-0.026720133,-0.087952297,0.165076038,0.05101974,0.158381116
Q13a,-0.015968411,0.003494529,0.017987739,0.002194209,-0.041592981,0.041661917,0.10365412,0.017925392,0.044923931,0.180319192,0.12574734,0.110811954,0.062566016,0.065670664,0.03797278,0.004940951,0.087067748,0.011611243,0.023005666,-0.041226792,0.018929486,0.096652602,0.046097203,-0.004194689,0.050676983,0.044348526,0.006721768,0.102241832,0.561026159,-0.105442469,-0.132041516,-0.000387652,-0.049571203,0.058305627,-0.086764893,-0.111674982,-0.060647459,-0.087287681,-0.242268849,-0.055740412,1,0.138529678,0.029585229,0.141645926,0.176909178,0.08041077,0.053957851,0.03133912,0.065595482,0.081692769,0.048303007,0.087389045,0.018991573,-0.030453414,0.007840871,0.038197117,0.04121311,0.010410519,-0.095499771,-0.002635623,-0.081664677,-0.028077228,-0.002635623,0.022362723,0.078680646,0.012413974,0.030963445,0.05548263,0.095737045,0.012243952,-0.05411114,0.031873568,0.030138898,0.094536022,0.072286929,-0.039450184,,-0.030403188,-0.053846435,0.089877069,0.03877654,-0.033193472,0.046504565,0.027640503,0.060823096,-0.016767629,0.089016416,0.043542688,0.095747082,-0.040084273,-0.073001021,-0.059116079,0.044823229,0.067296394,0.054226715
Ward,-0.014775476,0.018348724,-0.034237835,0.006927759,-0.004457531,-0.085065614,-0.048568493,-0.006519339,-0.087455011,0.035155141,0.071911342,-0.059407333,-0.038645494,-0.028216689,-0.034159521,0.050675133,-0.041229452,0.046341278,0.004519797,0.008847123,-0.022555158,-0.003356616,-0.015602883,0.103203471,0.107373868,0.126399876,0.109183968,0.201231084,0.011231493,-0.032105014,-0.03438185,0.126807387,0.035694987,0.023253329,-0.083237502,-0.073519528,-0.022491299,-0.017346205,-0.043882119,-0.042001791,0.067296394,0.04459973,-0.006863746,0.154351698,0.058769482,0.043905559,-0.039609522,0.003123691,-0.012275187,0.008113393,0.003501332,0.020825603,-0.035419425,-0.115563102,0.028929051,-0.031142553,-0.014116124,-0.010500432,-0.058346435,-0.006670412,0.041166796,0.014774454,-0.006670412,0.025265587,0.019208857,-0.019019122,-0.082082219,-0.020572649,0.035135598,-0.073061313,-0.011943123,0.035220808,0.041129849,-0.028086077,-0.005461911,0.05101974,,-0.048071892,-0.116515465,-0.048552005,-0.015537838,0.038288609,0.039336592,-0.006424103,0.003972755,0.002299973,0.036035111,0.04058519,0.043461393,0.024903889,-0.052401833,0.029967315,0.419801531,1,0.417023307
Q5h,-0.013622941,-0.069272348,0.002034096,0.067424263,-0.053320161,0.415555066,0.452693092,0.24324785,0.422689122,0.292021026,0.158812766,0.526622697,1,0.380985203,0.485935141,-0.110933948,0.44953831,-0.086243746,-0.069178943,-0.005922808,-0.016709221,-0.022101426,-0.029308555,-0.007000074,-0.011964581,-0.01296705,-0.03154125,0.048396823,0.023426843,-0.015122762,-0.216121459,-0.148855686,0.036734893,-0.007020776,-0.1094824,-0.091955351,-0.012194859,-0.079288921,0.159289916,0.042613046,0.062566016,-0.00329926,-0.103793112,0.072264954,0.070262135,-0.001548093,-0.058255656,-0.002355178,0.071995642,0.023687108,-0.128322216,0.138386456,0.045221553,0.125207408,-0.195965868,-0.000704157,-0.099670833,0.010169666,-0.064237551,0.020565864,0.028805905,0.044423306,0.020565864,-0.072148765,0.053522504,0.056166552,0.168764021,-0.027485898,-0.067183251,0.005339162,-0.124517996,-0.065928398,-0.020027042,-0.058021508,-0.079485712,0.141067391,,-0.05508021,-0.012469269,0.012389139,0.011328026,0.010663908,-0.019688961,0.016711727,-0.091600949,0.232857193,0.033790996,-0.008938611,-0.009277692,0.041924472,0.058031525,-0.054794784,-0.0311367,-0.038645494,-0.0367464
Q5j,-0.013432337,-0.030813852,0.014231531,0.013352435,0.032892788,0.413997233,0.388946472,0.164894137,0.375314717,0.238011036,0.190875933,0.420671516,0.485935141,0.533075579,1,-0.134188232,0.43213363,-0.084361993,-0.009011503,0.030956479,-0.003484203,-0.027375932,-0.002491972,-0.093634231,-0.085778172,-0.069202592,-0.091736103,-0.052310637,0.02332284,0.013239957,-0.169766731,-0.15660062,0.088926653,0.020533148,-0.048296466,-0.032506513,0.032188809,-0.071457966,0.122577768,-0.035709134,0.03797278,0.036458681,-0.089168228,0.078176977,0.059929847,0.001127792,-0.061616274,0.008776052,0.069292329,-0.030935542,-0.114877218,0.154861684,0.055451632,0.127786592,-0.205354975,0.018451209,-0.134026242,-0.027383471,-0.010223875,0.04983337,0.008318827,0.023505371,0.04983337,-0.116272085,0.103845246,0.038823189,0.137981525,-0.041415647,-0.05519005,-0.016556728,-0.055612252,-0.064619843,-0.044222536,-0.022205611,-0.022464356,0.094272181,,-0.047457462,0.024169937,0.079506935,0.035933071,0.021143062,-0.055477142,-0.025539051,-0.032553077,0.215996725,-0.00635144,-0.038876649,-0.023454988,-0.01901423,0.049401302,-0.017726158,-0.017335432,-0.034159521,-0.019626441
Q20,-0.012407886,-0.051033864,-0.0040251,-0.054754817,-0.037024229,0.018050696,-0.005663289,-0.051093971,-0.014007655,-0.150741664,-0.070500165,-0.077589541,-0.072148765,-0.056074315,-0.116272085,0.011562085,-0.086281865,-0.04248266,-0.079201853,-0.031857867,0.018804632,-0.022074297,-0.025992464,-0.021095134,-0.038480272,-0.043771479,-0.034456327,-0.062397047,-0.056243059,-0.059050151,0.068004526,0.23664538,-0.058201986,-0.034311345,-0.047072036,-0.081036328,-0.111550606,-0.118237938,-0.000806829,0.017059982,0.022362723,-0.022887594,0.096171734,0.07409181,0.05820975,-0.016850997,0.011202672,0.02752721,-0.019367725,-0.010821471,0.032160553,-0.099135186,0.003397724,-0.030497208,0.176552514,0.025820129,0.130096398,0.027590363,-0.019205295,-0.019596056,-0.014822596,0.039929316,-0.019596056,1,-0.104807082,0.020238564,0.046754886,0.01090026,0.058779239,0.012363865,-0.034712765,-0.027065705,-0.036811476,-0.053363008,-0.010003007,0.060181489,,0.034388748,-0.016245168,-0.012036754,0.013352857,-0.029287433,0.074047801,0.004931834,0.005805393,-0.002500799,-0.051189059,-0.024425094,-0.056286654,0.019923673,-0.010965089,-0.068749266,0.026229008,0.025265587,0.025154758
Q11d,-0.012274857,-0.04397459,0.036723554,-0.035216846,-0.049049862,-0.058511149,-0.058850357,0.02542686,-0.053970103,-0.035432876,0.069759841,-0.05296449,-0.03154125,-0.058007364,-0.091736103,0.086945386,-0.004070606,0.094728277,0.036471273,0.073124392,0.019533397,-0.018667988,0.024415802,0.728811606,0.721679746,0.725776927,1,0.606755371,-0.065684977,-0.07248068,-0.054080701,-0.020293529,-0.072708467,0.022156656,-0.045239568,-0.041565941,-0.035930016,0.003754506,0.088590764,0.109841343,0.006721768,0.017267493,-0.02405483,0.004383754,-0.039730062,0.0464792,0.001108728,-0.070890772,-0.012409792,0.08818059,-0.015380126,-0.057911722,-0.03445639,-0.095697305,0.041963066,-0.053560613,-0.043223164,-0.080103205,-0.022090579,0.01696625,0.03531796,0.138452261,0.01696625,-0.034456327,-0.057925463,0.053105086,0.02163821,-0.05162361,-0.019702749,-0.043753855,-0.040452193,-0.000742176,-0.011111834,0.047586248,0.022985361,-0.018899006,,0.006854013,0.045171373,-0.028121809,0.01647717,0.020340435,0.060585589,0.032058223,0.064226777,-0.090034852,0.080334343,0.116536654,0.124908618,0.087588102,0.060651887,0.092953213,0.063088479,0.109183968,0.062863131
Q14g,-0.009270581,-0.097582005,0.004405465,-0.076465926,-0.001697678,-0.070141388,-0.078399011,-0.058125187,-0.094347292,-0.088292931,-0.035038069,-0.080907214,-0.099670833,-0.089530888,-0.134026242,0.017994055,-0.120507332,-0.01339447,0.003311588,-0.021987829,-0.020346909,0.025265517,-0.041053416,-0.004382416,-0.026745121,-0.030846676,-0.043223164,-0.022963534,-0.022678913,-0.078631982,0.06626356,0.156965688,-0.042265908,-0.04523932,0.025947748,-0.052324338,-0.023907646,-0.046819715,-0.059016564,-0.021987829,0.04121311,-0.068254376,0.011392942,-0.017494477,-0.03150618,-0.037921152,-0.004009324,-0.03497931,-0.029748988,-0.005714036,0.077241204,-0.066555332,0.016075647,-0.024187284,0.18223748,0.158006844,1,0.180383952,0.017774567,-0.011724593,-0.077633506,-0.020346909,-0.011724593,0.130096398,-0.057229276,0.003634963,0.029137712,0.024561801,0.044145756,0.014902346,0.037078473,-0.012049628,-0.018565109,-0.02376185,-0.019311235,-0.002241928,,-0.015542865,-0.005135426,-0.008866438,-0.073933284,-0.07253634,-0.015382849,0.039286271,0.008178124,-0.077048068,-0.028757299,-0.051367608,-0.035181937,-0.0305495,-0.082821511,-0.034028426,0.016510973,-0.014116124,0.015885751
