,Target,AGE,S1,Q3,Q4,Q5a,Q5b,Q5c,Q5d,Q5e,Q5f,Q5g,Q5h,Q5i,Q5j,Q5k,Q5l,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q11a,Q11b,Q11c,Q11d,Q11e,Q12a,Q12b,Q12c,Q12d,Q12e,Q12f,Q12g,Q12h,Q12i,Q12j,Q12k,Q12l,Q13a,Q13b,Q13c,Q13d,Q13e,Q13f,Q13g,Q13h,Q13i,Q13j,Q14a,Q14b,Q14c,Q14d,Q14e,Q14f,Q14g,Q14h,Q14i,Q14j,Q14k,Q14l,Q14m,Q20,Q21,Q22,Q25,Q26a,Q26b,Q26c,Q26d,Q26e,Q26f,Q26g,Q26h,Q26i,Q26j,Q26k,Q27,Q28,Q29,Q30,Q32,Q33,Q34,Q35,Q36a,Q36b,Q36c,Q31,Q37a,Q38,Postcode_clean,Ward,OutputArea
Q26h,-0.049330424,-0.038589028,-0.046793541,-0.048567947,0.036665995,-0.064839739,-0.067979871,-0.086000289,-0.092356205,-0.034176899,0.010596549,-0.085924322,-0.079485712,-0.056460025,-0.022464356,0.005077382,-0.07570034,-0.012823552,0.047509096,0.060488369,-0.01246069,-0.013465609,0.135950885,0.039640558,0.052206528,0.021950961,0.022985361,0.017739781,0.036988916,-0.068320398,0.022303291,0.017702492,0.003810073,0.009022734,0.044583135,-0.016727158,-0.008496375,-0.028672953,-0.039458621,0.060488369,0.072286929,-0.029204826,0.016159944,0.040984814,-0.023077849,0.01735888,0.091418003,-0.028477843,0.018009226,-0.003499344,0.022878408,-0.018951513,0.003931131,-0.054915501,0.013096436,-0.003599166,-0.019311235,0.006885619,0.004885622,-0.007180281,0.042717578,-0.01246069,-0.007180281,-0.010003007,0.026878122,-0.044272238,-0.110115502,0.097991802,0.058763234,0.079298054,0.032794132,0.031369177,0.076049284,0.274742767,1,-0.288613942,,-0.033558403,0.024753097,-0.036223131,-0.021755015,0.008532414,0.020893255,0.042885924,-0.009142282,-0.099965912,0.062407352,0.069463652,0.03192538,0.009209703,-0.004278034,0.03091692,-0.10139895,-0.005461911,-0.096501147
Q14f,-0.043292407,-0.113049872,0.037916883,-0.061951657,-0.029004053,0.029196901,0.016705188,-0.021224966,0.026883211,0.045911304,0.010056577,0.030991889,-0.000704157,0.060178128,0.018451209,-0.057642399,-0.006050276,-0.050110139,-0.034613141,-0.017129409,0.047921826,-0.017129409,-0.031982273,-0.056170441,-0.013609577,-0.063610686,-0.053560613,-0.063402574,-0.004691932,-0.046189649,-0.021373124,-0.038904675,-0.020056457,0.023429563,0.039631085,0.027108957,-0.024187754,-0.008071991,0.016932657,-0.017129409,0.038197117,-0.017994922,-0.022522322,-0.005188768,-0.027178934,0.035288147,-0.001873735,0.015556972,-0.032821352,-0.019802365,-0.067968097,-0.052699005,0.016066315,0.105167762,0.055464658,1,0.158006844,0.219147713,0.072552747,-0.009133933,-0.060479644,-0.015851066,-0.009133933,0.025820129,0.04658409,0.040506027,0.079195051,0.016610587,-0.033189108,0.000266132,-0.015060947,-0.015650926,-0.014462971,0.023115978,-0.003599166,0.027504667,,0.006382101,-0.008585702,-8.88E-05,-0.020019581,-0.035359989,-0.039425568,-0.092915696,-0.045274951,0.031532002,-0.0143105,-0.011456443,-0.042076308,-0.014879294,-0.029368155,-0.05136413,0.004269853,-0.031142553,0.001921656
Q12c,-0.04256156,0.02107958,0.034140365,-0.116134024,0.02461701,-0.131610498,-0.18061297,-0.160800161,-0.162618796,-0.250999857,-0.205922158,-0.16637802,-0.216121459,-0.240277309,-0.169766731,0.038797211,-0.196650257,-0.059179485,0.004149399,0.016652728,-0.007106282,0.016652728,-0.014338156,-0.041768887,-0.056092273,-0.047634597,-0.054080701,-0.096438425,-0.187757372,-0.063247294,1,0.205927787,-0.008627037,-0.027884188,0.067041547,0.098642193,-0.035846286,-0.004652698,-0.181436641,-0.04174434,-0.132041516,-0.01553409,0.677535248,-0.020417825,-0.018299584,-0.029266889,0.048188789,-0.002001807,-0.089853882,-0.026024015,0.094262271,-0.128876695,-0.012675404,0.014925629,0.194048865,-0.021373124,0.06626356,-0.032731193,0.030784355,0.032234099,-0.022659352,-0.038629019,0.032234099,0.068004526,-0.213161208,0.042800335,-0.008020891,-0.064875867,-0.050383515,-0.020521527,0.006674449,-0.087531686,-0.000731526,-0.008578921,0.022303291,0.047197542,,-0.031266109,0.079378012,0.001800598,-0.03820459,-0.095896662,0.029462203,-0.014228701,-0.008662941,-0.073017226,-0.141375012,-0.079578565,-0.118143671,0.00648467,-0.069048102,0.034085108,-0.03045041,-0.03438185,-0.029907437
Q13g,-0.04126383,0.047450414,-0.01228018,0.008350879,-0.030115991,0.045538465,0.037662852,0.012813787,-0.030580346,0.000265467,-0.02314075,-0.000896162,-0.058255656,-0.018751639,-0.061616274,-0.024585277,0.01000762,0.025893147,0.006721092,-0.008337836,-0.007715596,0.061646051,0.060654707,-0.042334049,0.010165468,-0.005652453,0.001108728,0.001742048,0.025637592,-0.02797072,0.048188789,0.06978491,-0.026773637,0.063942859,0.436228321,0.021686755,-0.022763561,-0.051403818,-0.036239381,-0.008337836,0.053957851,0.017949992,0.079225371,0.029493676,0.078684919,0.109365332,1,0.099242994,0.08014053,-0.008229076,0.100382528,0.032143142,-0.007894868,-0.004292581,0.076373477,-0.001873735,-0.004009324,-0.006537589,0.014310357,-0.004445993,-0.050792744,-0.007715596,-0.004445993,0.011202672,-0.01761596,0.032904832,-0.024585738,0.002087199,0.021686755,0.050447782,0.047902809,0.040247645,-0.007039933,0.073521401,0.091418003,-0.08074433,,0.008289273,0.018658107,0.009102595,0.053583738,0.072717575,0.036559129,-0.001453887,0.01095856,-0.025984128,0.053893445,0.107754507,0.023425367,-0.024023775,-0.054706399,-0.075064075,-0.062200941,-0.039609522,-0.060451021
Q13i,-0.039964325,0.019167543,-0.022236593,0.009953768,-0.030938184,0.007780339,-0.00097214,0.009973256,-0.024738649,0.076540581,0.009250855,0.03983688,0.071995642,0.031164305,0.069292329,0.012442475,0.020479373,0.023751433,-0.006697912,0.06127056,-0.008500516,-0.009186059,0.059585863,-0.025079484,-0.010371814,0.001988589,-0.012409792,0.027859157,-0.028806764,0.004952658,-0.089853882,0.014213243,-0.021312852,0.039418178,-0.02586005,0.083298914,0.495567717,-0.03085263,-0.039926076,-0.009186059,0.065595482,0.065858633,-0.032971403,0.058002511,0.056210182,0.014228606,0.08014053,0.20199722,1,0.015922544,0.033327498,0.043476386,-0.042112957,-0.00646624,0.024362353,-0.032821352,-0.029748988,0.048193635,-0.042112831,-0.004898292,-0.032433669,-0.008500516,-0.004898292,-0.019367725,-0.003343638,0.005040498,-0.056500639,0.017160601,-0.020586072,0.03951984,0.051891436,-0.02202719,-0.007756117,-0.013980352,0.018009226,-0.062399015,,-0.003383216,0.034914174,0.005909453,0.155863892,0.133659169,0.054306483,-0.001053353,0.068518148,-0.036381481,0.044587123,0.060043546,0.066226551,-0.001458678,-0.021046224,-0.037982625,-0.05452257,-0.012275187,-0.051427841
Q27,-0.037936586,-0.124171567,-0.008963319,-0.021462012,0.03979425,-0.001415076,0.000542877,-0.087610743,-0.02585496,-0.077635732,-0.046814643,-0.021446825,-0.012469269,-0.013229796,0.024169937,-0.103843832,-0.043489697,-0.024372616,0.007060152,-0.000357574,-0.030030416,-0.008060319,-0.01025581,0.025534223,0.031804693,0.020641884,0.045171373,-0.00693711,-0.023574844,-0.039184856,0.079378012,0.068334755,-0.030852177,0.051182908,0.005540089,0.003006547,0.015428214,0.009291758,-0.010635712,0.011548923,-0.053846435,-0.003679516,0.112412068,-0.000522557,-0.009355799,0.049704616,0.018658107,-0.002863198,0.034914174,-0.038125381,0.059818899,-0.017057158,0.053848337,-0.034670522,0.085571589,-0.008585702,-0.005135426,0.090775529,-0.001299741,-0.026888145,0.041720899,-0.019812945,-0.026888145,-0.016245168,-0.025862788,0.099764424,0.025457621,-0.035490609,0.00562777,-0.035693846,-0.028362699,-0.02311802,-0.028918095,0.016324373,0.024753097,-0.000293899,,0.018315303,1,0.096661322,0.021503712,-0.093970878,-0.018711746,-0.00191936,0.040941973,0.019183671,-0.118729612,-0.105777186,-0.112688596,-0.014984207,-0.006911045,-0.014179239,-0.09420353,-0.116515465,-0.093010974
Q13e,-0.037725582,0.032398997,-0.033690773,-0.024802903,-0.105037094,0.108425067,0.107007079,0.052917728,0.090752648,0.034010344,0.036446885,0.094245389,0.070262135,0.044123429,0.059929847,-0.103280053,0.120750769,-0.057942056,0.061728919,-0.015010906,-0.013890663,0.063090949,-0.028026822,-0.069186777,-0.057066996,-0.048144366,-0.039730062,0.022807706,0.122899082,-0.008569989,-0.018299584,0.187996794,0.393771898,0.085478889,-0.042257814,-0.073272753,-0.021080594,-0.013186948,-0.065243056,-0.015010906,0.176909178,0.110411835,0.060732996,0.232588042,1,0.09316264,0.078684919,0.095438277,0.056210182,0.114495545,0.080187919,0.012608606,0.044283914,0.074847253,0.089227339,-0.027178934,-0.03150618,0.024366007,-0.002650021,-0.032297976,-0.088746155,-0.013890663,-0.032297976,0.05820975,-0.015097335,0.020966976,0.016393386,-0.028284473,-0.011264854,-0.024894982,-0.068623187,-0.019187379,0.033486686,-0.018094077,-0.023077849,0.098182222,,-0.037409524,-0.009355799,0.034790127,0.073736016,0.020385813,0.079699443,0.001953847,-0.009333213,0.092630644,-0.010788643,-0.009599084,-0.006392842,0.016859649,-0.05222068,-0.085128102,0.011160179,0.058769482,0.006129354
Q11e,-0.037505253,-0.024647272,0.004429694,-0.022676505,-0.072145078,-0.014933056,0.022114256,0.056882524,-0.018680935,0.085993101,0.185355579,0.013336095,0.048396823,-0.000694856,-0.052310637,0.17484446,0.068000237,0.093136379,0.035143446,0.028988894,-0.006561632,0.013526164,0.058335356,0.553400687,0.577969752,0.61631231,0.606755371,1,0.021147153,-0.02717131,-0.096438425,0.068963604,0.005019743,0.017407825,-0.047749492,-0.062395856,-0.006553586,-0.027490115,0.066193955,0.090839812,0.102241832,0.069866226,-0.050649765,0.060460499,0.022807706,0.042924512,0.001742048,-0.035149131,0.027859157,0.103973601,0.035529441,-0.028358438,-0.006356365,-0.15952782,0.044295537,-0.063402574,-0.022963534,-0.027490115,-0.080512013,0.029886892,0.050453542,0.135333654,0.029886892,-0.062397047,-0.02980275,0.046493342,0.011803606,-0.088542799,-0.049242546,-0.091260215,-0.052143882,0.019599616,-0.012079699,0.065018393,0.017739781,0.001501376,,-0.030516584,-0.00693711,-0.050769266,0.075342014,0.066568261,0.110589166,0.035546126,0.018350608,-0.047549174,0.099400468,0.117437247,0.156377954,0.101131343,0.044247381,0.076010155,0.139142698,0.201231084,0.141691799
Q28,-0.035824947,-0.060867222,-0.058321194,-0.054818333,0.04641159,0.017041573,0.049396879,-0.04052904,0.076783671,0.028665916,0.00648259,0.014591412,0.012389139,0.013237966,0.079506935,-0.171021264,-0.00281204,0.006502387,0.054154661,0.006598098,-0.02355995,-0.016509474,-0.033628835,-0.035420899,-0.018601418,-0.032567244,-0.028121809,-0.050769266,0.07645665,-0.066084977,0.001800598,-0.029648466,-0.003933855,0.08398266,0.014462672,-0.019324456,0.009543145,-0.026249881,-0.036847187,0.011426782,0.089877069,-0.037659474,0.027073747,-0.005712404,0.034790127,0.079692487,0.009102595,0.019091609,0.005909453,0.010679791,-0.014423573,0.082895294,-0.014733458,0.024368381,0.03984226,-8.88E-05,-0.008866438,-0.014580442,0.009034393,0.001218481,-0.009671,0.007027364,0.001218481,-0.012036754,0.046072282,0.001973524,0.041557494,0.016141849,0.002237124,-0.00432155,0.014860275,0.017009872,0.024511951,0.038769827,-0.036223131,-0.004519676,,-0.016462053,0.096661322,1,0.013063622,-0.079982469,0.010203432,0.047240973,0.050824154,0.076398085,-0.096456824,-0.079155777,-0.077818397,-0.043970588,-0.006005696,-0.019955952,-0.01871995,-0.048552005,-0.017384888
Q12f,-0.035694336,0.046066658,-0.045511377,0.064814242,-0.007014389,-0.040256335,-0.023457011,0.024709277,-0.014343921,0.030560905,0.05877215,-0.009426723,-0.007020776,-0.029062968,0.020533148,-0.030984383,-0.013180267,0.11310312,0.080024144,-0.01396925,-0.012926745,-0.01396925,0.051714211,0.02033327,0.035637675,0.046023558,0.022156656,0.017407825,0.033525367,0.014756752,-0.027884188,0.009080335,0.074974172,1,0.093465006,-0.043457419,0.043766847,0.004599119,-0.06071563,-0.01396925,0.058305627,0.028831355,-0.015246178,0.03621611,0.085478889,0.838234337,0.063942859,-0.017517245,0.039418178,-0.022192665,0.124671388,-0.028412882,-0.031197947,-0.060740353,0.030649243,0.023429563,-0.04523932,0.004599119,0.035920759,-0.007448838,-0.027527047,0.064187977,-0.007448838,-0.034311345,-0.005084674,0.016569808,-0.02796487,-0.039714834,-0.019153108,0.018343124,0.109467199,0.120215211,-0.011794737,0.025994484,0.009022734,-0.053986565,,-0.034813556,0.051182908,0.08398266,-0.001532142,0.005062914,-0.006023239,-0.018602901,0.008830138,0.063271351,-0.021764885,0.002224241,-0.00367583,-0.048733459,0.00484193,-0.023635159,0.001799476,0.023253329,0.000693383
