,Males aged 85-89,Females,Males aged 45-65,Females aged 5-9,Males aged 25-44,Males aged 70-74,Males aged 5-9,Males aged 65-69,Females aged 25-44,Mode Income,Males aged 80-84,Females aged 75-79,Lower Quartile,Males aged 75-79,Females aged 45-65,Males aged 90-94,Mean Income,Females aged 80-84,Males aged 100+,Females aged 70-74,Females aged 65-69,Females aged 95_99,Median Income,Females aged 85-89,Males,Females aged 90-94,Females aged 65+,Large User,Population aged 65+,Males aged 95-99,Females aged under 25,Males aged 65+,Total households,Males aged under 25,Females aged 100+
4676,0.0,0.018518518518518517,0.0,0.0,0.03409090909090909,0.0,0.0,0.0,0.0125,0.20454545454545456,0.0,0.0,0.3714384508731484,0.0,0.0,0.0,0.43543223052294555,0.0,0.0,0.08333333333333333,0.0,0.0,0.41421568623529414,0.0,0.026143790849673203,0.0,0.025,0.0,0.013888888888888888,0.0,0.019230769230769232,0.0,0.018518518518518517,0.01818181818181818,0.0
4677,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6379668050321964,0.0,0.0,0.0,0.6937033084311632,0.0,0.0,0.0,0.0,0.0,0.6764705882352942,0.0,0.013071895424836602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.0
4678,0.0,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.0,0.1590909090909091,0.0,0.0,0.31407596552813905,0.0,0.0,0.0,0.35432230522945574,0.0,0.0,0.0,0.0,0.0,0.34224598929411765,0.0,0.006535947712418301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006172839506172839,0.0,0.0
4679,0.0,0.006172839506172839,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.0125,1.0,0.0,0.0,0.9867219917831304,0.0,0.0,0.0,0.9413020277481323,0.0,0.0,0.0,0.0,0.0,0.9663865545882352,0.0,0.006535947712418301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006172839506172839,0.0,0.0
4680,0.0,0.030864197530864196,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.0375,0.1590909090909091,0.0,0.0,0.37805440294423687,0.0,0.0,0.0,0.5389541088580576,0.0,0.0,0.0,0.0,0.0,0.45201238388235293,0.0,0.013071895424836602,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.018518518518518517,0.01818181818181818,0.0
4681,0.0,0.006172839506172839,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.0125,1.0,0.0,0.0,0.6663208853125577,0.0,0.0,0.0,0.7246531483457844,0.0,0.0,0.0,0.0,0.0,0.7058823529411765,0.0,0.006535947712418301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006172839506172839,0.0,0.0
4682,0.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1590909090909091,0.0,0.0,0.25518672201287856,0.0,0.05,0.0,0.27854855923159016,0.0,0.0,0.0,0.0,0.0,0.2689075630588235,0.0,0.006535947712418301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006172839506172839,0.01818181818181818,0.0
4683,0.0,0.006172839506172839,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.0125,0.29545454545454547,0.0,0.0,0.5650563129556062,0.0,0.0,0.0,0.6104589114194237,0.0,0.0,0.0,0.0,0.0,0.6018099547058823,0.0,0.006535947712418301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.0
4684,0.0,0.006172839506172839,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.0125,0.1590909090909091,0.0,0.0,0.3232365145496462,0.0,0.0,0.0,0.35538954108858056,0.0,0.0,0.0,0.0,0.0,0.3475935829411764,0.0,0.006535947712418301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.0
4685,0.0,0.006172839506172839,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.0125,0.38636363636363635,0.0,0.0,0.5529045643612369,0.0,0.0,0.0,0.5955176093916755,0.0,0.0,0.0,0.0,0.0,0.5882352941176471,0.0,0.006535947712418301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.0
4686,0.0,0.012345679012345678,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.0125,1.0,0.0,0.0,0.7578272351458778,0.0,0.025,0.0,0.7929562433297759,0.0,0.0,0.0,0.0,0.0,0.7941176470588235,0.0,0.006535947712418301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.0
4687,0.0,0.006172839506172839,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.0125,0.25,0.0,0.0,0.5468286899789899,0.0,0.0,0.0,0.5816435432230523,0.0,0.0,0.0,0.0,0.0,0.5882352941176471,0.0,0.006535947712418301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006172839506172839,0.0,0.0
4688,0.0,0.012345679012345678,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.0125,0.20454545454545456,0.0,0.0,0.4253112033547976,0.0,0.025,0.0,0.49306296691568835,0.0,0.0,0.0,0.0,0.0,0.47058823529411764,0.0,0.006535947712418301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.0
4689,0.0,0.006172839506172839,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.0,0.20454545454545456,0.0,0.0,0.3473374827964595,0.0,0.025,0.0,0.3799359658484525,0.0,0.0,0.0,0.0,0.0,0.37058823529411766,0.0,0.013071895424836602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006172839506172839,0.01818181818181818,0.0
4690,0.0,0.006172839506172839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29545454545454547,0.0,0.1111111111111111,0.5589804387434838,0.0,0.0,0.0,0.6125933831376734,0.0,0.0,0.0,0.0,0.0,0.5980392156470589,0.0,0.0,0.0,0.025,0.0,0.013888888888888888,0.0,0.0,0.0,0.006172839506172839,0.0,0.0
4691,0.0,0.037037037037037035,0.0,0.041666666666666664,0.022727272727272728,0.0,0.0,0.0,0.0375,0.38636363636363635,0.0,0.0,0.5629118867230631,0.0,0.025,0.0,0.615795090715048,0.0,0.0,0.0,0.0,0.0,0.6029411764705882,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.030864197530864196,0.01818181818181818,0.0
4692,0.0,0.006172839506172839,0.04878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.20454545454545456,0.0,0.0,0.3711806865951187,0.0,0.0,0.0,0.4066168623265742,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.013071895424836602,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.006172839506172839,0.0,0.0
4693,0.0,0.006172839506172839,0.04878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.20454545454545456,0.0,0.0,0.3711806865951187,0.0,0.0,0.0,0.40768409818569906,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.013071895424836602,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.006172839506172839,0.0,0.0
4694,0.0,0.006172839506172839,0.0,0.041666666666666664,0.03409090909090909,0.0,0.0,0.0,0.0,0.29545454545454547,0.0,0.0,0.4837914938160823,0.0,0.0,0.0,0.5261472785485592,0.0,0.0,0.0,0.0,0.0,0.5147058823529411,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.0
4695,0.0,0.012345679012345678,0.04878048780487805,0.0,0.03409090909090909,0.0,0.0,0.0,0.0125,1.0,0.0,0.0,0.6653082395821832,0.0,0.0,0.0,0.7235859124866596,0.0,0.0,0.0,0.0,0.0,0.7102396514117647,0.0,0.032679738562091505,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.030864197530864196,0.0,0.0
4696,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.20454545454545456,0.0,0.0,0.40640848322459816,0.0,0.0,0.0,0.48665955176093917,0.0,0.0,0.0,0.0,0.0,0.4588235294117647,0.0,0.013071895424836602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.0
4697,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9526970955147466,0.0,0.0,0.0,0.9765208110992529,0.0,0.0,0.0,0.0,0.0,0.9803921568235293,0.0,0.013071895424836602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006172839506172839,0.0,0.0
4698,0.0,0.006172839506172839,0.04878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8364453666544768,0.0,0.0,0.0,0.7950907150480256,0.0,0.0,0.0,0.0,0.0,0.8137254902352942,0.0,0.013071895424836602,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.006172839506172839,0.0,0.0
4699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1590909090909091,0.0,0.0,0.27786998613509295,0.0,0.0,0.0,0.3062966915688367,0.0,0.0,0.0,0.0,0.0,0.29411764705882354,0.0,0.006535947712418301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006172839506172839,0.01818181818181818,0.0
4700,0.0,0.012345679012345678,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0125,1.0,0.0,0.0,0.7500943040829954,0.0,0.025,0.0,0.7908217716115261,0.0,0.0,0.0,0.0,0.0,0.788235294117647,0.0,0.013071895424836602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.01818181818181818,0.0
4701,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.20454545454545456,0.0,0.0,0.3997925311535097,0.0,0.0,0.0,0.439701173959445,0.0,0.0,0.0,0.0,0.0,0.4248366012941176,0.0,0.013071895424836602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006172839506172839,0.0,0.0
4702,0.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.38636363636363635,0.0,0.0,0.6237897649770779,0.0,0.025,0.0,0.6776947705442903,0.0,0.0,0.0,0.0,0.0,0.6568627450588236,0.0,0.006535947712418301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006172839506172839,0.01818181818181818,0.0
4703,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9867219917831304,0.0,0.0,0.0,0.9413020277481323,0.0,0.0,0.0,0.0,0.0,0.9663865545882352,0.0,0.013071895424836602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006172839506172839,0.0,0.0
4704,0.0,0.043209876543209874,0.07317073170731707,0.0,0.03409090909090909,0.1111111111111111,0.0,0.125,0.0375,0.38636363636363635,0.0,0.0,0.6031686155894745,0.125,0.025,0.0,0.6595517609391676,0.0,0.0,0.0,0.0,0.0,0.6438791732941176,0.0,0.0718954248366013,0.0,0.0,0.0,0.041666666666666664,0.0,0.057692307692307696,0.09375,0.07407407407407407,0.03636363636363636,0.0
4705,0.0,0.006172839506172839,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0125,0.29545454545454547,0.0,0.0,0.5422717842773669,0.0,0.0,0.0,0.5741728922091782,0.0,0.0,0.0,0.0,0.0,0.5714285714117646,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006172839506172839,0.01818181818181818,0.0
4706,0.0,0.006172839506172839,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0125,0.29545454545454547,0.0,0.0,0.49903181187958773,0.0,0.0,0.0,0.5368196371398078,0.0,0.0,0.0,0.0,0.0,0.5294117647058824,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.01818181818181818,0.0
4707,0.0,0.012345679012345678,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0125,0.38636363636363635,0.0,0.0,0.6362655602187772,0.0,0.0,0.0,0.6670224119530416,0.0,0.0,0.0,0.0,0.0,0.6642156862352941,0.0,0.0392156862745098,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.024691358024691357,0.03636363636363636,0.0
4708,0.0,0.006172839506172839,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0125,0.29545454545454547,0.0,0.0,0.4784751037741473,0.0,0.0,0.0,0.5197438633938101,0.0,0.0,0.0,0.0,0.0,0.5110294117647058,0.0,0.013071895424836602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.0
